created,text,retwc,hashtag,followers,friends
2018-02-03 16:51:53,b'RT @Holland_Global: [\xf0\x9f\x93\xa3] TRANSLATOR SEARCH\n\nHello Harlings! We are now opening our doors to all dedicated fans of Holland who can do Korean-\xe2\x80\xa6',19,None,18,259
2018-02-03 16:51:53,b'https://t.co/M9XCfToeIJ a big thanks to Sir David Attenborough',0,None,581,2014
2018-02-03 16:51:52,"b""Man if you don't just google that shit https://t.co/jgJ4QqIGVf""",0,None,220,150
2018-02-03 16:51:52,b'We makerspaced this morning. My tribe made a spinner. Quarter past google time. #edtechteam https://t.co/YKIElCMdBW',0,edtechteam,236,158
2018-02-03 16:51:52,b'Candy May by Alex Cameron is amazing. Happy Saturday!  https://t.co/6xe05YLV1c',0,None,9050,1006
2018-02-03 16:51:51,b'Google Help Center \xf0\x9f\x91\x8a',0,None,84,153
2018-02-03 16:51:51,b'Google Assistant Could Get Customisable Hotwords',0,None,62,0
2018-02-03 16:51:50,b'Mareep until 12:17:11pm (25m 20s). 3.7km E of downtown. https://t.co/0GkcJZU4u0',0,None,284,2
2018-02-03 16:51:50,b'RT @JarettSays: Uma Thurman shares her Weinstein story https://t.co/JzOTUsxg4d https://t.co/KXmbdWULgN',1162,None,1683,1029
2018-02-03 16:51:50,b'RT @beauty_jackson: Are you having a bad day and enjoy men? Google \xe2\x80\x9cJon Hamm\xe2\x80\x99s print.\xe2\x80\x9d',1,None,1114,881
2018-02-03 16:51:49,"b'We just got to my job site, I\xe2\x80\x99m already google mapping how long it\xe2\x80\x99s gonna take to get home from here. \xf0\x9f\x98\x82'",0,None,103,99
2018-02-03 16:51:49,"b'RT @ParkerMolloy: [phone rings, unknown number]\n\nWhat do I do:\n\n\xe2\x9a\xaa\xef\xb8\x8f Answer it like a normal person to find out who it is.\n\xf0\x9f\x94\x98 Let it go to voi\xe2\x80\xa6'",515,None,450,83
2018-02-03 16:51:49,b'RT @jamisondcollins: @MuseumHack Just wanted to let you know that Google is placing your programmatic ads on racist Breitbart. They can put\xe2\x80\xa6',4,None,182,132
2018-02-03 16:51:48,b'RT @JarettSays: Uma Thurman shares her Weinstein story https://t.co/JzOTUsxg4d https://t.co/KXmbdWULgN',1164,None,5907,285
2018-02-03 16:51:48,"b'Hangover status: \xe2\x80\x9cHey Google, volume at 3%\xe2\x80\x9d'",0,None,338,202
2018-02-03 16:51:48,b'RT @matricesonline: @ToestringRd @DevinNunes @FBI @FBIWFO Have you tagged @MaddowBlog @maddow about this? If not I guess I just did... also\xe2\x80\xa6',17,None,2734,4995
2018-02-03 16:51:48,b'RT @DomainOfLegends: FLICKER WORLD TOUR 2018 see here:\n\nhttps://t.co/H7jZ11kVHT\n\n#BestLyrics #SlowHands #NiallHoran #iHeartAwards https://t\xe2\x80\xa6',67,BestLyrics,402,97
2018-02-03 16:51:48,b'2018:\n\nHow Bizarre https://t.co/Ufk6wBiC52',0,None,456,654
2018-02-03 16:51:47,b'A level 5 raid will begin at Frog Leg Pinwheel gym at 09:25:36am. https://t.co/Itqjbe8AeS',0,None,40,1
2018-02-03 16:51:47,"b""RT @Ina3121: PRINCE'S thoughts on holograms taken from a 1998 interview in Guitar World ...\nhttps://t.co/BSesA7i3d9 https://t.co/KVCisNBCCz""",3,None,201,658
2018-02-03 16:51:47,b'RT @Royal_Token: Airdrop form #1 will be closed soon!\nLAST 500 APPLICANTS! Better hurry up!\n[Re-tweet and tweet us your MEW for a bonus!]\xe2\x80\xa6',437,None,269,999
2018-02-03 16:51:46,b'RT @HungryTruckerAB: Rampant social media censorship and thought control at @facebook @Twitter @Google @YouTube and now @PeriscopeCo owned\xe2\x80\xa6',6,None,1735,1849
2018-02-03 16:51:46,b'RT @PALITPROJECT: [Update] PeckPalitchokeFirstdate Project \xe0\xb8\xa3\xe0\xb8\xb2\xe0\xb8\xa2\xe0\xb8\xa5\xe0\xb8\xb0\xe0\xb9\x80\xe0\xb8\xad\xe0\xb8\xb5\xe0\xb8\xa2\xe0\xb8\x94\xe0\xb8\x94\xe0\xb8\xb1\xe0\xb8\x87\xe0\xb8\x99\xe0\xb8\xb5\xe0\xb9\x89\xe0\xb8\x84\xe0\xb9\x88\xe0\xb8\xb0  https://t.co/L2KwFqtfoH\n#\xe0\xb9\x80\xe0\xb8\x9b\xe0\xb9\x8a\xe0\xb8\x81\xe0\xb8\x9c\xe0\xb8\xa5\xe0\xb8\xb4\xe0\xb8\x95\xe0\xb9\x82\xe0\xb8\x8a\xe0\xb8\x84 https://t.co/avwZjfcSY4',2803,เป๊กผลิตโชค,12,95
2018-02-03 16:51:45,b'Logan Heights: Geodude \xe2\x99\x80 til 09:21:30(29m 43s). https://t.co/YVj4PeRNwq',0,None,1057,42
